Approach, Missing Data Mechanism, Missing Ratio, RMSE
MICE,MCAR,0.5,0.0578767854
MissForest,MCAR,0.5,0.0390470945
GAINCredit,MCAR,0.7,0.3677118437
MostFrequent,MCAR,0.7,0.1206322233
MeanImputation,MCAR,0.7,0.093418239
MICE,MCAR,0.7,0.0630370433
MissForest,MCAR,0.7,0.0455179289
GAINCredit,MAR,0.1,0.0280218711
MostFrequent,MAR,0.1,0.3116504495
MeanImputation,MAR,0.1,0.0895065702
MICE,MAR,0.1,0.0314311679
MissForest,MAR,0.1,0.0189660661
GAINCredit,MAR,0.3,0.0756119834
MostFrequent,MAR,0.3,0.1577652679
MeanImputation,MAR,0.3,0.0963061334
MICE,MAR,0.3,0.0352528254
MissForest,MAR,0.3,0.0242223981
GAINCredit,MAR,0.5,0.1381326409
MostFrequent,MAR,0.5,0.3590929172
MeanImputation,MAR,0.5,0.2920430162
MICE,MAR,0.5,0.0314430221
MissForest,MAR,0.5,0.0228472123
GAINCredit,MAR,0.7,0.2555444977
MostFrequent,MAR,0.7,0.221648296
MeanImputation,MAR,0.7,0.2028103994
MICE,MAR,0.7,0.0644003398
MissForest,MAR,0.7,0.0494909488
GAINCredit,MCAR,0.1,0.077223815
MostFrequent,MCAR,0.1,0.3660053331
MeanImputation,MCAR,0.1,0.0905240882
MICE,MCAR,0.1,0.0522707904
MissForest,MCAR,0.1,0.0319180574
GAINCredit,MCAR,0.3,0.072381916
MostFrequent,MCAR,0.3,0.1204748416
MeanImputation,MCAR,0.3,0.06495586
MICE,MCAR,0.3,0.0550478905
MissForest,MCAR,0.3,0.0355031843
GAINCredit,MCAR,0.5,0.3669879994
MostFrequent,MCAR,0.5,0.216038631
MeanImputation,MCAR,0.5,0.1185333432
MICE,MCAR,0.5,0.057624283
MissForest,MCAR,0.5,0.0394003112
GAINCredit,MCAR,0.7,0.1494400607
MostFrequent,MCAR,0.7,0.4889970934
MeanImputation,MCAR,0.7,0.3454052811
MICE,MCAR,0.7,0.062560333
MissForest,MCAR,0.7,0.0452314353
GAINCredit,MAR,0.1,0.0997246131
MostFrequent,MAR,0.1,0.839859754
MeanImputation,MAR,0.1,0.2856875183
MICE,MAR,0.1,0.0866033398
MissForest,MAR,0.1,0.0526787322
GAINCredit,MAR,0.3,0.2753281403
MostFrequent,MAR,0.3,0.2037944448
MeanImputation,MAR,0.3,0.1616695143
MICE,MAR,0.3,0.0271146941
MissForest,MAR,0.3,0.0174074504
GAINCredit,MAR,0.5,0.4892184212
MostFrequent,MAR,0.5,0.841684601
MeanImputation,MAR,0.5,0.6423204639
MICE,MAR,0.5,0.0680477072
MissForest,MAR,0.5,0.0478797328
GAINCredit,MAR,0.7,0.328426426
MostFrequent,MAR,0.7,0.5255271249
MeanImputation,MAR,0.7,0.4876511503
MICE,MAR,0.7,0.038005809
MissForest,MAR,0.7,0.0292848589
GAINCredit,MCAR,0.1,0.0742912773
MostFrequent,MCAR,0.1,0.3913914499
MeanImputation,MCAR,0.1,0.0953402435
MICE,MCAR,0.1,0.053267336
MissForest,MCAR,0.1,0.0320338625
GAINCredit,MCAR,0.3,0.2962501105
MostFrequent,MCAR,0.3,0.2431015414
MeanImputation,MCAR,0.3,0.0906303386
MICE,MCAR,0.3,0.056050437
MissForest,MCAR,0.3,0.0356534067
GAINCredit,MCAR,0.5,0.2576975419
MostFrequent,MCAR,0.5,0.8757701165
MeanImputation,MCAR,0.5,0.4405160407
MICE,MCAR,0.5,0.0578377627
MissForest,MCAR,0.5,0.038988177
GAINCredit,MCAR,0.7,0.1393798545
MostFrequent,MCAR,0.7,0.1190570246
MeanImputation,MCAR,0.7,0.0922884505
MICE,MCAR,0.7,0.0627662771
MissForest,MCAR,0.7,0.0449828408
GAINCredit,MAR,0.1,0.027534151
MostFrequent,MAR,0.1,0.266273523
MeanImputation,MAR,0.1,0.0975456517
MICE,MAR,0.1,0.0223035565
MissForest,MAR,0.1,0.0151633289
GAINCredit,MAR,0.3,0.0316612508
MostFrequent,MAR,0.3,0.8984737729
MeanImputation,MAR,0.3,0.7004440585
MICE,MAR,0.3,0.0319216872
MissForest,MAR,0.3,0.0245847023
GAINCredit,MAR,0.5,0.1240725245
MostFrequent,MAR,0.5,0.1265146366
MeanImputation,MAR,0.5,0.105808707
MICE,MAR,0.5,0.0327438199
MissForest,MAR,0.5,0.0248272084
GAINCredit,MAR,0.7,0.1423409176
MostFrequent,MAR,0.7,0.2009581246
MeanImputation,MAR,0.7,0.1855454651
MICE,MAR,0.7,0.0648676739
MissForest,MAR,0.7,0.0468429999
GAINCredit,MCAR,0.1,0.0630359719
MostFrequent,MCAR,0.1,0.0714451323
MeanImputation,MCAR,0.1,0.0561300973
MICE,MCAR,0.1,0.0529933916
MissForest,MCAR,0.1,0.0323801536
GAINCredit,MCAR,0.3,0.060120327
MostFrequent,MCAR,0.3,0.2002149444
MeanImputation,MCAR,0.3,0.0807514654
MICE,MCAR,0.3,0.0551520767
MissForest,MCAR,0.3,0.0352992246
GAINCredit,MCAR,0.5,0.0558733069
MostFrequent,MCAR,0.5,0.150654069
MeanImputation,MCAR,0.5,0.0896917116
MICE,MCAR,0.5,0.0576531353
MissForest,MCAR,0.5,0.0392399763
GAINCredit,MCAR,0.7,0.1286035286
MostFrequent,MCAR,0.7,0.1259987808
MeanImputation,MCAR,0.7,0.0969687912
MICE,MCAR,0.7,0.0626060739
MissForest,MCAR,0.7,0.0450953268
GAINCredit,MAR,0.1,0.023985533
MostFrequent,MAR,0.1,0.8770206798
MeanImputation,MAR,0.1,0.2880062827
MICE,MAR,0.1,0.0250174466
MissForest,MAR,0.1,0.0153419955
GAINCredit,MAR,0.3,0.0266150825
MostFrequent,MAR,0.3,0.670227129
MeanImputation,MAR,0.3,0.4873111035
MICE,MAR,0.3,0.030268501
MissForest,MAR,0.3,0.0211698179
GAINCredit,MAR,0.5,0.2239397979
MostFrequent,MAR,0.5,0.1347053646
MeanImputation,MAR,0.5,0.1129110514
MICE,MAR,0.5,0.067651616
MissForest,MAR,0.5,0.0475914031
GAINCredit,MAR,0.7,0.1105708493
MostFrequent,MAR,0.7,0.6192582155
MeanImputation,MAR,0.7,0.5367714401
MICE,MAR,0.7,0.0688099462
MissForest,MAR,0.7,0.0514051781
GAINCredit,MCAR,0.1,0.0595207776
MostFrequent,MCAR,0.1,0.1901609146
MeanImputation,MCAR,0.1,0.0683172594
MICE,MCAR,0.1,0.0526495241
MissForest,MCAR,0.1,0.0320141043
GAINCredit,MCAR,0.3,0.1428845669
MostFrequent,MCAR,0.3,0.7069861658
